condition,conv_id,turn_index,n_turns,cosine_semanticL
C2-P0,4340,17,32,0.8016796670163882
C2-P0,4340,18,32,0.6248292686987778
C2-P0,4340,19,32,0.8443269685448347
C2-P0,4340,20,32,0.6538622999890878
C2-P0,4340,21,32,0.7826860722685602
C2-P0,4340,22,32,0.6549806703299029
C2-P0,4340,23,32,0.6901203503159826
C2-P0,4340,24,32,0.8061834628536227
C2-P0,4340,25,32,0.6674768337168384
C2-P0,4340,26,32,0.7538715877758769
C2-P0,4340,27,32,0.6503689520748189
C2-P0,4340,28,32,0.7964658613769765
C2-P2,4333,0,32,0.6211971005762851
C2-P2,4333,1,32,0.6842018267632359
C2-P2,4333,2,32,0.7145527051046839
C2-P2,4333,3,32,0.5531543229721508
C2-P2,4333,4,32,0.06774867776002347
C2-P2,4333,5,32,0.17632576644510412
C2-P2,4333,6,32,0.6658957990314408
C2-P2,4333,7,32,0.7185767145817583
C2-P2,4333,8,32,0.8013191950296041
C2-P2,4333,9,32,0.7949217060899384
C2-P2,4333,10,32,0.6566792383109812
C2-P2,4333,11,32,0.5198367748160814
C2-P2,4333,12,32,0.5828960634050653
C2-P2,4333,13,32,0.6061401645781304
C2-P2,4333,14,32,0.563881837635342
C2-P2,4333,15,32,0.697858230812063
C2-P2,4333,16,32,0.5465486942294406
C2-P2,4333,17,32,0.43288162073133607
C2-P2,4333,18,32,0.3886376401373173
C2-P2,4333,19,32,0.3118575185384873
C2-P2,4333,20,32,0.677472129246263
C2-P2,4333,21,32,0.48074776305112654
C2-P2,4333,22,32,0.5821599577489855
C2-P2,4333,23,32,0.6130180755528467
C2-P2,4333,24,32,0.578619428818191
C2-P2,4333,25,32,0.4989517583938692
C2-P2,4333,26,32,0.5390875624639007
C2-P2,4333,27,32,0.49227118072331333
C2-P2,4333,28,32,0.42430183166000046
SB,4109,0,53,0.813211900561377
SB,4109,1,53,0.8299277230837643
SB,4109,2,53,0.5632638693078268
SB,4109,3,53,0.7571143406253645
SB,4109,4,53,0.8213327087811083
